,Date,User,Tweet
51,2023-01-13 18:42:54+00:00,cretyne,@maleticjasmina Ljudi umiru svakako - možda najgori argument vezano sa bilo šta ikada. Tih 15 ljudi u toj epidemiji nije moralo da umre. Jer imamo način da to sprečimo. Ima ljudi koji ne smeju da prime vakcinu - tačno! Ciljni obuhvat za MMR je 95% i tada se stvara kolektivni imunitet koji
52,2023-01-13 17:56:15+00:00,anastasijaticko,"@Leblebija1 Najbolje da odes do pedijatra ili direktno u dz idi da pitas... 
Zbog epidemije u sestom mesecu ne smem ni da radim, nisam prelezala nijedne boginje... strasno"
53,2023-01-13 14:23:42+00:00,eBranicevo,"Jovanović: Potvrđeno šest slučajeva infekcije malim boginjama #male #boginje #infekcija #epidemija #ZZJZPO #eBraničevo
https://t.co/oowE122Ofi https://t.co/0c6sCFKHGH"
54,2023-01-13 14:09:57+00:00,Tvzonaplus,"MALE BOGINJE SU PONOVO TU – ZAŠTO RODITELJI ODLAŽU VAKCINACIJU? - https://t.co/hN7QBfkKoG - Šestoro dece je zaraženo malim boginjama, a najmlađi pacijent ima sedam meseci, naveo je državni sekretar Miroslav Đerlek gostujući na TV Prva. Pretpostavlja da ovo nije konačan broj za... https://t.co/WQNbwr6YoF"
55,2023-01-13 13:55:53+00:00,telegrafrs,Male boginje uzimaju danak: Najmlađe zaraženo dete u Srbiji ima svega sedam meseci https://t.co/AqhzdTkH9S via @telegrafrs
56,2023-01-13 12:19:43+00:00,PVInformer,"EPIDEMIJA NA VRATIMA, NE ODLAGATI VAKCINACIJU : Male boginje najopasnije za djecu mlađu od pet godina https://t.co/69UlYxRChJ"
57,2023-01-13 12:06:07+00:00,modesty_blaise0,"@83Macak @ROLERSproject Svi ste imali ovcije boginje ili varičela zoster. Ja sam imala sa 23 godine i bas mi bilo teško. Jako zarazan virus koji pogadja decu u dobi od 5 do 10 godina. Mešaš viruse, ponavljam. Četvrtina zaraženih od morbila ima komplikacije. Guglaj jebiga, aj zdravo."
58,2023-01-13 11:08:02+00:00,Shorax5,"2018. u epidemiji morbila obolelo je oko 6500 naših građana. Petnaest ljudi je umrlo. Svako treće dete je bilo hospitalizovano. Prethodno, imali smo veoma nizak obuhvat sa MMR vakcinom."
59,2023-01-13 10:52:04+00:00,SasaJov01778682,"@slobodan_1_svoj Nisu sva deca vakcinisana, a pojavila su se kod dece. Inace nismo svi vakcinisani, postoje ljudi koji ne mogu da prime vakcinu. Inace, male boginje i dalje postoje, samo vakcina dovodi do imuniteta pa nema obolelih, ali one su tu."
60,2023-01-13 10:13:54+00:00,bl_portal,MMR vakcinom vakcinisano 60 odsto djece predškolskog uzrasta: Epidemija malih boginja na pragu ✔️ https://t.co/Ymirdimszm
